Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;GD;XGD
1;Sun;Away;D;1;1;Chelsea;1.3;1.4;0;-0.1
2;Sat;Home;W;3;1;Bournemouth;3;1.3;2;1.7
3;Sun;Away;W;2;1;Newcastle Utd;0.9;2;1;-1.1
4;Sun;Home;W;3;0;Aston Villa;2.5;0.7;3;1.8
5;Sat;Away;W;3;1;Wolves;2.5;0.6;2;1.9
6;Sun;Home;W;3;1;West Ham;3;1.1;2;1.9
7;Sat;Away;L;1;2;Tottenham;1.3;2.2;-1;-0.9
8;Sun;Away;D;2;2;Brighton;2.3;2.3;0;0
9;Sat;Home;W;2;0;Everton;2.2;0.1;2;2.1
10;Sun;Home;W;3;0;Nott'ham Forest;3.2;0.4;3;2.8
11;Sun;Away;D;1;1;Luton Town;2.6;0.8;0;1.8
12;Sun;Home;W;3;0;Brentford;1.7;1.6;3;0.1
13;Sat;Away;D;1;1;Manchester City;0.6;1.3;0;-0.7
14;Sun;Home;W;4;3;Fulham;2.1;1.2;1;0.9
15;Wed;Away;W;2;0;Sheffield Utd;1.7;1;2;0.7
16;Sat;Away;W;2;1;Crystal Palace;1.2;1.7;1;-0.5
17;Sun;Home;D;0;0;Manchester Utd;2.3;0.8;0;1.5
18;Sat;Home;D;1;1;Arsenal;1;0.7;0;0.3
19;Tue;Away;W;2;0;Burnley;1.8;0.8;2;1
20;Mon;Home;W;4;2;Newcastle Utd;7;0.6;2;6.4
21;Sun;Away;W;4;0;Bournemouth;1.5;1.4;4;0.1
22;Wed;Home;W;4;1;Chelsea;2.9;0.6;3;2.3
23;Sun;Away;L;1;3;Arsenal;0.4;3.5;-2;-3.1
24;Sat;Home;W;3;1;Burnley;2.8;1.3;2;1.5
25;Sat;Away;W;4;1;Brentford;2.8;1.6;3;1.2
26;Wed;Home;W;4;1;Luton Town;3.3;0.9;3;2.4
27;Sat;Away;W;1;0;Nott'ham Forest;2;1;1;1
28;Sun;Home;D;1;1;Manchester City;2.7;1.6;0;1.1
29;Sun;Home;W;2;1;Brighton;2.8;0.5;1;2.3
30;Thu;Home;W;3;1;Sheffield Utd;1.8;0.6;2;1.2
31;Sun;Away;D;2;2;Manchester Utd;3.6;0.7;0;2.9
32;Sun;Home;L;0;1;Crystal Palace;2.7;2;-1;0.7
33;Sun;Away;W;3;1;Fulham;1;0.8;2;0.2
34;Wed;Away;L;0;2;Everton;2.1;1.2;-2;0.9
35;Sat;Away;L;2;2;West Ham;1.64;0.7;0;0.94
