Team;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
Manchester City;3;2;1;1;1;1;1;3;2;3;1;1;2;3;4;4;4;4;2;2;2;2;1;1;2;2;2;3;2;2;2;2;1;1;1;1;1;1
Tottenham;9;6;3;2;2;4;2;1;1;1;2;4;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5
Liverpool;12;5;4;3;3;2;4;4;4;4;3;2;3;2;2;1;2;2;1;1;1;1;2;2;1;1;1;2;3;3;3;3;3;3;3;3;3;3
Arsenal;4;3;5;5;4;5;3;2;3;2;4;3;1;1;1;2;1;1;3;4;3;3;3;3;3;3;3;1;1;1;1;1;2;2;2;2;2;2
Aston Villa;20;9;7;9;7;6;5;5;5;5;5;5;4;4;3;3;3;3;4;3;4;5;4;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4
Newcastle Utd;1;8;13;13;11;8;8;8;6;6;6;7;7;6;7;7;6;7;9;9;10;8;9;7;8;11;8;11;11;8;9;8;7;8;8;8;7;7
Brighton;2;1;6;6;5;3;6;6;7;7;7;8;8;8;8;8;9;9;8;7;7;9;8;9;7;7;9;8;8;10;11;11;11;11;12;11;10;11
Manchester Utd;7;12;8;10;12;9;10;10;8;8;8;6;6;7;6;6;7;8;7;8;8;7;6;6;6;6;6;6;6;6;6;6;6;6;6;7;8;8
Brentford;8;4;9;8;10;12;14;15;14;10;9;11;11;11;12;12;13;14;14;15;14;15;15;14;14;15;15;15;16;15;15;16;15;15;16;16;16;16
Chelsea;11;14;10;11;13;13;11;11;10;11;10;10;10;10;10;13;10;11;11;10;9;10;11;10;10;9;10;9;9;9;7;9;8;7;7;6;6;6
Crystal Palace;5;10;11;7;8;10;9;9;11;13;11;13;13;12;14;15;16;16;16;14;15;14;14;15;15;14;14;14;14;14;14;14;14;14;14;14;12;10
West Ham;13;7;2;4;6;7;7;7;9;9;12;9;9;9;9;9;8;6;6;6;6;6;7;8;9;8;7;7;7;7;8;7;9;9;9;9;9;9
Wolves;17;19;15;14;17;14;14;13;12;12;13;12;12;13;13;13;14;12;12;11;11;11;10;11;11;10;11;10;10;11;12;12;12;12;11;12;13;14
Nott'ham Forest;14;11;14;16;15;17;15;15;15;16;16;15;16;16;17;17;17;19;18;17;17;18;18;18;17;17;17;18;18;17;17;17;17;17;17;17;17;17
Fulham;6;13;12;12;9;11;12;12;13;14;14;14;14;14;12;10;12;13;13;13;13;13;13;13;13;12;12;12;12;13;13;13;13;13;13;13;14;13
Everton;15;20;20;20;20;15;16;16;16;15;15;14;18;17;17;16;15;15;15;16;16;16;16;16;16;16;16;16;15;16;16;15;16;16;15;15;15;15
Luton Town;18;17;19;19;19;19;19;19;19;17;17;18;17;18;18;18;18;17;17;18;18;17;17;17;18;18;18;17;17;18;18;18;18;18;18;18;18;18
Bournemouth;10;15;16;17;16;18;18;18;18;19;18;16;15;15;15;14;11;10;10;12;12;12;12;12;12;13;13;13;13;12;10;10;10;10;10;10;11;12
Burnley;19;18;18;15;14;16;17;17;17;18;19;20;20;19;19;19;19;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
Sheffield Utd;16;16;17;18;18;20;20;20;20;20;20;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
